#_of_samples Prop_diam(inch) X_position(mm) Y_position(mm) Torque(Nm) Thrust(N) Omega(rad/s) Airspeed(m/s) AoA(deg) AoSS(deg) V_tan(m/s) V_rad(m/s) V_axial(m/s) Chord_angle(deg) Chord_angle_eff(deg) Chord_length(mm) Chord_length_eff(mm) Helix_angle_eff(deg) Alpha_angle(deg) V_total(m/s) V_lift(m/s) V_drag(m/s) CL CD Reynolds_number V_a+r(m/s) D/R_ratio 
2 20.2 171 1 0.16 6.07 212.02 7.45 16.09 -4.66 2.06 -0.58 7.12 8.3 8.30 34.56 34.56 11.76 -3.46 34.93 7.39 0.57 0.423 0.032 81586 7.14 0.4
2 20.2 174 1 0.16 6.07 212.00 7.49 16.34 -4.63 2.10 -0.58 7.16 8.2 8.20 33.88 33.88 11.63 -3.43 35.52 7.44 0.61 0.419 0.035 81328 7.18 0.4
2 20.2 177 1 0.16 6.07 211.99 7.52 15.93 -4.54 2.06 -0.57 7.20 8.1 8.10 33.47 33.47 11.48 -3.37 36.19 7.47 0.59 0.413 0.032 81854 7.22 0.4
2 20.2 180 1 0.16 6.07 212.00 7.57 15.54 -4.88 2.03 -0.62 7.25 8 8.00 33.04 33.04 11.34 -3.34 36.86 7.51 0.56 0.407 0.031 82289 7.28 0.4
2 20.2 183 1 0.16 6.07 212.01 7.51 16.93 -3.96 2.18 -0.50 7.14 7.9 7.90 32.63 32.63 11.03 -3.13 37.31 7.43 0.77 0.398 0.041 82268 7.16 0.4
2 20.2 186 1 0.16 6.07 212.03 7.40 14.48 -2.26 1.84 -0.28 7.14 7.9 7.90 32.22 32.22 10.75 -2.85 38.27 7.36 0.48 0.385 0.025 83318 7.15 0.4
2 20.2 189 1 0.16 6.07 212.03 6.75 14.87 0.44 1.74 0.05 6.53 7.9 7.90 31.82 31.82 9.67 -1.77 38.89 6.73 0.62 0.346 0.032 83605 6.53 0.4
2 20.2 192 1 0.16 6.07 211.99 5.95 14.22 2.02 1.46 0.20 5.75 7.9 7.90 31.39 31.39 8.34 -0.44 39.66 5.90 0.61 0.298 0.031 84121 5.75 0.4
2 20.2 195 1 0.16 6.07 212.11 5.46 8.32 0.83 0.80 0.09 5.39 7.8 7.80 30.97 30.97 7.57 0.23 40.92 5.45 0.08 0.266 0.004 85624 5.39 0.4
2 20.2 198 1 0.16 6.07 212.09 5.36 10.63 2.79 0.99 0.26 5.26 7.8 7.80 30.58 30.58 7.31 0.49 41.34 5.34 0.31 0.258 0.015 85420 5.27 0.4
2 20.2 201 1 0.16 6.07 212.12 4.46 10.80 1.85 0.84 0.07 4.37 7.8 7.80 30.21 30.21 5.97 1.83 42.02 4.43 0.38 0.211 0.018 85780 4.37 0.4
2 20.2 204 1 0.16 6.07 212.13 1.29 3.18 0.41 0.14 0.02 1.28 7.7 7.70 29.82 29.82 1.70 6.00 43.15 1.28 0.10 0.059 0.005 86949 1.28 0.4
2 20.2 207 1 0.16 6.07 212.13 0.00 0.00 0.00 0.00 0.00 0.00 7.6 7.60 29.38 29.38 0.00 7.60 43.91 0.00 0.00 0.000 0.000 87169 0.00 0.4
2 20.2 210 1 0.16 6.07 212.12 0.00 0.00 0.00 0.00 0.00 0.00 7.6 7.60 28.97 28.97 0.00 7.60 44.55 0.00 0.00 0.000 0.000 87194 0.00 0.4
2 20.2 213 1 0.16 6.07 212.19 0.00 0.00 0.00 0.00 0.00 0.00 7.5 7.50 28.41 28.41 0.00 7.50 45.20 0.00 0.00 0.000 0.000 86759 0.00 0.4
2 20.2 216 1 0.16 6.07 212.07 0.00 0.00 0.00 0.00 0.00 0.00 7.5 7.50 27.89 27.89 0.00 7.50 45.81 0.00 0.00 0.000 0.000 86322 0.00 0.4
2 20.2 219 1 0.16 6.08 212.20 0.00 0.00 0.00 0.00 0.00 0.00 7.5 7.50 27.33 27.33 0.00 7.50 46.47 0.00 0.00 0.000 0.000 85816 0.00 0.4
2 20.2 222 1 0.16 6.07 212.16 0.00 0.00 0.00 0.00 0.00 0.00 7.5 7.50 26.8 26.80 0.00 7.50 47.10 0.00 0.00 0.000 0.000 85288 0.00 0.4
2 20.2 225 1 0.16 6.07 211.93 0.00 0.00 0.00 0.00 0.00 0.00 7.4 7.40 26.31 26.31 0.00 7.40 47.68 0.00 0.00 0.000 0.000 84768 0.00 0.4
2 20.2 228 1 0.16 6.07 211.83 0.00 0.00 0.00 0.00 0.00 0.00 7.3 7.30 25.86 25.86 0.00 7.30 48.30 0.00 0.00 0.000 0.000 84390 0.00 0.4
2 20.2 231 1 0.16 6.07 212.01 0.00 0.00 0.00 0.00 0.00 0.00 7.2 7.20 25.49 25.49 0.00 7.20 48.97 0.00 0.00 0.000 0.000 84348 0.00 0.4
2 20.2 234 1 0.16 6.06 212.07 0.00 0.00 0.00 0.00 0.00 0.00 7.2 7.20 25.19 25.19 0.00 7.20 49.62 0.00 0.00 0.000 0.000 84462 0.00 0.4
2 20.2 237 1 0.16 6.06 212.06 0.00 0.00 0.00 0.00 0.00 0.00 6.9 6.90 24.97 24.97 0.00 6.90 50.26 0.00 0.00 0.000 0.000 84794 0.00 0.4
2 20.2 240 1 0.16 6.06 212.03 0.00 0.00 0.00 0.00 0.00 0.00 6.8 6.80 24.8 24.80 0.00 6.80 50.89 0.00 0.00 0.000 0.000 85270 0.00 0.4
2 20.2 243 1 0.16 6.06 211.92 0.00 0.00 0.00 0.00 0.00 0.00 7.2 7.20 24.14 24.14 0.00 7.20 51.50 0.00 0.00 0.000 0.000 83995 0.00 0.4
2 20.2 246 1 0.16 6.06 211.86 0.00 0.00 0.00 0.00 0.00 0.00 7.9 7.90 21.57 21.57 0.00 7.90 52.12 0.00 0.00 0.000 0.000 75958 0.00 0.4
2 20.2 249 1 0.16 6.06 212.03 0.00 0.00 0.00 0.00 0.00 0.00 6.1 6.10 16.32 16.32 0.00 6.10 52.80 0.00 0.00 0.000 0.000 58218 0.00 0.4
2 20.2 252 1 0.16 6.06 211.98 0.00 0.00 0.00 0.00 0.00 0.00 6.4 6.40 12.84 12.84 0.00 6.40 53.42 0.00 0.00 0.000 0.000 46345 0.00 0.4
2 20.2 255 1 0.16 6.06 211.89 0.00 0.00 0.00 0.00 0.00 0.00 6.2 6.20 10.45 10.45 0.00 6.20 54.03 0.00 0.00 0.000 0.000 38151 0.00 0.4
Induced_power 22.80 W
Power 33.91 W
Efficiency 67.25 %
Average_induced_speed 3.76 m/s
Airspeed_ratio 1.69
V_mass 0.95 kg/s
V_max_mean 6.36 m/s
Ct 0.00159
Cp 0.00008
Air_density 1.225 kg/m3
Air_kinematic_viscosity 1.48 "x10-5 m2/s"
