Prop_diam(inch) X_position(mm) Y_position(mm) Torque(Nm) Thrust(N) Omega(rad/s) Airspeed(m/s) AoA(deg) AoSS(deg) V_tan(m/s) V_rad(m/s) V_axial(m/s)
20.2 42 1 0.157 6.079 212.27 0.00 0.00 0.00 0.00 0.00 0.00
20.2 45 1 0.157 6.079 212.25 0.00 0.00 0.00 0.00 0.00 0.00
20.2 48 1 0.157 6.078 211.99 0.00 0.00 0.00 0.00 0.00 0.00
20.2 51 1 0.157 6.074 211.93 0.00 0.00 0.00 0.00 0.00 0.00
20.2 54 1 0.156 6.073 211.77 0.00 0.00 0.00 0.00 0.00 0.00
20.2 57 1 0.156 6.073 211.95 0.00 0.00 0.00 0.00 0.00 0.00
20.2 60 1 0.156 6.071 212.03 0.00 0.00 -3.02 0.00 -0.00 0.00
20.2 63 1 0.156 6.071 212.12 4.43 19.27 -10.09 1.46 -0.73 4.12
20.2 66 1 0.157 6.071 212.06 6.75 50.91 -8.92 5.24 -0.66 4.20
20.2 69 1 0.157 6.07 211.90 5.70 38.21 -8.26 3.53 -0.64 4.43
20.2 72 1 0.157 6.067 211.98 6.20 31.86 -8.24 3.27 -0.75 5.21
20.2 75 1 0.157 6.065 212.08 6.42 28.86 -8.52 3.10 -0.83 5.56
20.2 78 1 0.157 6.065 211.99 7.27 23.23 -9.63 2.87 -1.12 6.59
20.2 81 1 0.157 6.064 211.93 7.10 22.45 -7.99 2.71 -0.91 6.50
20.2 84 1 0.156 6.062 211.92 7.07 24.46 -7.03 2.93 -0.79 6.39
20.2 87 1 0.156 6.059 211.82 7.15 23.29 -7.26 2.83 -0.83 6.51
20.2 90 1 0.156 6.057 211.88 7.61 21.51 -7.46 2.79 -0.92 7.02
20.2 93 1 0.156 6.057 212.02 8.12 4.47 -8.94 0.63 -1.26 8.00
20.2 96 1 0.156 6.057 211.98 6.66 14.95 -6.38 1.72 -0.72 6.39
20.2 99 1 0.156 6.057 212.00 6.67 15.08 -6.68 1.74 -0.75 6.40
20.2 102 1 0.157 6.059 212.13 7.18 11.11 -12.39 1.38 -1.51 6.88
20.2 105 1 0.157 6.062 212.09 7.26 11.25 -13.41 1.42 -1.65 6.93
20.2 108 1 0.157 6.067 212.03 7.34 8.24 -11.47 1.05 -1.44 7.12
20.2 111 1 0.157 6.071 212.16 6.95 8.78 -4.67 1.06 -0.56 6.85
20.2 114 1 0.157 6.074 212.06 6.86 10.63 -5.92 1.27 -0.70 6.71
20.2 117 1 0.157 6.074 212.09 7.08 8.70 -6.88 1.07 -0.84 6.95
20.2 120 1 0.157 6.074 212.11 7.55 5.59 -10.21 0.74 -1.33 7.40
20.2 123 1 0.157 6.073 211.97 7.15 8.00 -5.79 1.00 -0.71 7.04
20.2 126 1 0.157 6.072 212.03 7.23 9.16 -6.27 1.15 -0.78 7.10
20.2 129 1 0.157 6.071 212.01 7.17 9.20 -6.98 1.15 -0.86 7.03
20.2 132 1 0.157 6.068 211.95 7.19 8.12 -5.40 1.02 -0.67 7.09
20.2 135 1 0.157 6.066 212.06 7.31 6.96 -5.08 0.89 -0.64 7.23
20.2 138 1 0.157 6.064 212.04 7.16 11.38 -4.14 1.41 -0.51 7.00
20.2 141 1 0.157 6.066 212.16 7.06 15.21 -3.38 1.85 -0.40 6.80
20.2 144 1 0.157 6.069 212.06 7.14 14.13 -4.33 1.74 -0.52 6.90
20.2 147 1 0.157 6.07 212.17 7.12 14.19 0.48 1.75 0.06 6.90
20.2 150 1 0.157 6.069 211.92 7.17 15.25 -1.46 1.89 -0.18 6.92
20.2 153 1 0.157 6.071 211.95 7.15 16.88 -3.38 2.08 -0.40 6.83
20.2 156 1 0.157 6.073 212.03 7.29 18.86 -2.71 2.36 -0.33 6.89
